Cluster,Editorial,Category,Volume,Issue,Article_Number,Authors,Title
4,,c,10,2,1,Martin Rehm & Wim Gijselaers & Mien Segers,The impact of hierarchical positions on communities of learning
7,,c,10,2,2,Jian-Wei Lin1 & Li-Jung Mai2 & Yung-Cheng Lai1,Peer interaction and social network analysis of online communities with the support of awareness of different contexts
16,,a,10,2,3,Tuya Siqin & Jan van Aalst & Samuel Kai Wah Chu,Fixed group and opportunistic collaboration in a CSCL environment
6,,c,10,2,4,Sebastien Cuendet & Jessica Dehler-Zufferey & Giulia Ortoleva & Pierre Dillenbourg,An integrated way of using a tangible user interface in a classroom
13,editorial,e,10,3,0,Gerry Stahl,Conceptualizing the intersubjective group
2,,c,10,3,1,Michael Hammond,A Habermasian perspective on joint meaning making online: What does it offer and what are the difficulties?
13,,b,10,3,2,Baruch B. Schwarz1 & Reuma de Groot1 & Manolis Mavrikis2 & Toby Dragon3,Learning to learn together with CSCL tools
4,,c,10,3,3,Suparna Sinha1 & Toni Kempler Rogat2 & Karlyn R. Adams-Wiggins1 & Cindy E. Hmelo-Silver3,Collaborative group engagement in a computer-supported inquiry learning environment
16,,c,10,3,4,Monica Resendes1 & Marlene Scardamalia1 & Carl Bereiter1 & Bodong Chen2 & Cindy Halewood3,Group-level formative feedback and metadiscourse
13,editorial,e,10,4,0,Gerry Stahl,A decade of CSCL
16,,c,10,4,1,Bodong Chen1 & Marlene Scardamalia2 & Carl Bereiter2,Advancing knowledge‐building discourse through judgments of promising ideas
4,,c,10,4,2,Owen M. Harney1 & Michael J. Hogan1 & Benjamin Broome2 & Tony Hall1 & Cormac Ryan1,"Investigating the effects of prompts on argumentation style, consensus and perceived efficacy in collaborative learning"
2,,b,10,4,3,Mihai Dascalu1 & Stefan Trausan-Matu1 & Danielle S. McNamara2 & Philippe Dessus3,ReaderBench: Automated evaluation of collaboration based on cohesion and dialogism
1,,a,10,4,4,Matthew Berland1 & Don Davis2 & Carmen Petrick Smith3,AMOEBA: Designing for collaboration in computer science classrooms through live learning analytics
