Cluster,Editorial,Category,Volume,Issue,Article_Number,Authors,Title
4,,d,3,1,4,Ulrike Cress,The need for considering multilevel analysis in CSCL research—An appeal for the use of more advanced statistical methods
4,,c,3,1,5,Joachim Kimmerle & Ulrike Cress,Group awareness and self-presentation in computer-supported information exchange
13,editorial,e,3,2,0,Gerry Stahl,The strength of the lone wolf
12,,b,3,2,1,Ulrike Cress & Joachim Kimmerle,A systemic and cognitive view on collaborative knowledge building with wikis
4,,b,3,2,2,Jürgen Buder & Daniel Bodemer,Supporting controversial CSCL discussions with augmented group awareness tools
9,,c,3,2,3,Joanna Wolfe,Annotations and the collaborative digital library: Effects of an aligned annotation interface on student argumentation and reading strategies
9,,c,3,2,4,Maarten Overdijk & Wouter van Diggelen,Appropriation of a shared workspace: Organizing principles and their application
10,,c,3,2,5,Pierre Tchounikine,Operationalizing macro-scripts in CSCL technological settings
2,editorial,e,3,3,0,Gerry Stahl & Friedrich Hesse,Explorations of participation in discourse
15,,c,3,3,1,Carolyn Rosé & Yi-Chia Wang & Yue Cui & Jaime Arguello & Karsten Stegmann & Armin Weinberger & Frank Fischer,Analyzing collaborative learning processes automatically: Exploiting the advances of computational linguistics in
2,,b,3,3,2,Thomas Herrmann & Andrea Kienle,Context-oriented communication and the design of computer-supported discursive learning
8,,c,3,3,3,Nancy Ares,Cultural practices in networked classroom learning environments
1,,c,3,3,4,Judith Schoonenboom,The effect of a script and a structured interface in grounding discussions
8,,a,3,3,5,Diler Oner,Supporting students’ participation in authentic proof activities in computer supported collaborative learning (CSCL) environments Diler Öner
8,editorial,e,3,3,6,Gerry Stahl,Book review: Exploring thinking as communicating in CSCL
13,editorial,e,3,4,0,Gerry Stahl & Friedrich Hesse,CSCL practices
7,,b,3,4,1,David Hung & Kenneth Y. T. Lim & Der-Thanq Victor Chen & Thiam Seng Koh,Leveraging online communities in fostering adaptive schools
12,,c,3,4,2,Andreas Lund & Ingvill Rasmussen,The right tool for the wrong task? Match and mismatch between first and second stimulus in double stimulation
7,,b,3,4,3,Brian C. Nelson & Diane Jass Ketelhut,Exploring embedded guidance and self-efficacy in educational multi-user virtual environments
8,,b,3,4,4,Fengfeng Ke,Alternative goal structures for computer game-based learning
2,,c,3,4,5,Gijsbert Erkens & Jeroen Janssen,Automatic coding of dialogue acts in collaboration protocols
13,editorial,e,4,1,0,Gerry Stahl,Yes we can!
6,,b,4,1,1,Diana Laurillard,The pedagogical challenges to collaborative technologies
8,,c,4,1,2,Manu Kapur & Charles K. Kinzer,Productive failure in CSCL groups
0,,c,4,1,3,Deborah A. Fields & Yasmin B. Kafai,A connective ethnography of peer knowledge sharing and diffusion in a tween virtual world
10,,c,4,1,4,Nikol Rummel & Hans Spada & Sabine Hauser,Learning to collaborate while being scripted or by observing a model
8,,c,4,1,5,Annika Lantz-Andersson,The power of natural frameworks: Technology and the question of agency in CSCL settings
13,editorial,e,4,2,0,Gerry Stahl & Friedrich Hesse,Practice perspectives in CSCL
8,,c,4,2,1,Murat Perit Çakır & Alan Zemel & Gerry Stahl,The joint organization of interaction within a multimodal CSCL medium
3,,b,4,2,2,Nina Bonderup Dohn,Affordances revisited: Articulating a Merleau-Pontian view
2,,c,4,2,3,Norm Friesen,Genre and CSCL: The form and rhetoric of the online posting
16,,c,4,2,4,Hanni Muukkonen & Minna Lakkala,Exploring metaskills of knowledge-creating inquiry in higher education
16,,b,4,2,5,Kai Hakkarainen,A knowledge-practice perspective on technology-mediated learning
