id,authors,editorial,title
ijCSCL_10_4_1,Bodong Chen & Marlene Scardamalia & Carl Bereiter,,Advancing knowledge‐building discourse through judgments of promising ideas
ijCSCL_8_3_3,Meng Yew Tee & Shuh Shing Lee,,Advancing understanding using Nonaka’s model of knowledge creation and problem-based learning
2020_v15i2_10.1007_s11412-020-09324-4_Advocating_for_group_interaction_in_the_age_of_COVID-19,Sanna Jarvela & Carolyn P. Rose,editorial,Advocating for group interaction in the age of COVID-19
ijCSCL_4_2_2,Nina Bonderup Dohn,,Affordances revisited: Articulating a Merleau-Pontian view
2021_v16i1_10.1007_s11412-021-09341-x_Affording_embodied_cognition_through_touchscreen_and_above-the-surface_gestures_during_collaborative_tabletop_science_le,Nikita Soni,,Affording embodied cognition through touchscreen and above-the-surface gestures during collaborative tabletop science learning
manifest:10.1007/s11412-025-09456-5,,,Age-related differences in explanatory activities during collaborative learning with concept maps: experimental investigation using epistemic network analysis
manifest:10.1007/s11412-021-09353-7,,,Agency to transform: how did a grade 5 community co-configure dynamic knowledge building practices in a yearlong science inquiry?
2021_v16i3_10.1007_s11412-021-09353-7_Agency_to_transform_how_did_a_grade_5_community_co-configure_dynamic_knowledge_building_practices_in_a_yearlong_science_,Dan Tao & Jianwei Zhang,,Agency to transform: how did a grade 5 community co‑configure dynamic knowledge building practices in a yearlong science inquiry?
ijCSCL_6_3_3,Hao-Chuan Wang & Carolyn P. Rose & Chun-Yen Chang,,Agent-based dynamic support for learning from collaborative brainstorming in scientific inquiry
2025_v20i4_10.1007_s11412-025-09456-5_Age-related_differences_in_explanatory_activities_during_collaborative_learning_with_conce,Shigen Shimojo & Yugo Hayashi,,Age‑related differences in explanatory activities during collaborative learning with concept maps: experimental investigation using epistemic network analysis
2017_v12i2_10.1007_s11412-017-9258-6_All_in_good_time_knowledge_introduction_restructuring_and_development_of_shared_opinions_as_different_stages_in_collabor,Johannes Moskaliuk & Ulrike Cress,,"All in good time: knowledge introduction, restructuring, and development of shared opinions as different stages in collaborative writing"
ijCSCL_3_4_4,Fengfeng Ke,,Alternative goal structures for computer game-based learning
ijCSCL_10_4_4,Matthew Berland & Don Davis & Carmen Petrick Smith,,AMOEBA: Designing for collaboration in computer science classrooms through live learning analytics
2023_v18i1_10.1007_s11412-023-09387-z_An_artificial_intelligence-driven_learning_analytics_method_to_examine_the_collaborative_p,Fan Ouyang & Weiqi Xu & Mutlu Cukurova,,An artificial intelligence-driven learning analytics method to examine the collaborative problem-solving process from the complex adaptive systems perspective
2023_v18i1_10.1007_s11412-023-09386-0_An_automated_group_learning_engagement_analysis_and_feedback_approach_to_promoting_collaborative_knowledge_building_grou,Lanqin Zheng & Miaolang Long & Jiayu Niu & Lu Zhong,,"An automated group learning engagement analysis and feedback approach to promoting collaborative knowledge building, group performance, and socially shared regulation in CSCL"
ijCSCL_9_3_3,Heisawn Jeong & Cindy E. Hmelo-Silver & Yawen Yu,,An examination of CSCL methodological practices and the influence of theoretical frameworks 2005–2009
ijCSCL_6_2_3,Robert L. Jorczak,,An information processing perspective on divergence and convergence in collaborative learning
ijCSCL_7_2_2,Jacques Lonchamp,,An instrumental perspective on CSCL systems
ijCSCL_10_2_4,Jessica Dehler-Zufferey & Giulia Ortoleva & Pierre Dillenbourg,,An integrated way of using a tangible user interface in a classroom
ijCSCL_7_3_0,Gerry Stahl & Nancy Law & Friedrich Hesse,editorial,An international research community
ijCSCL_4_4_4,Seiji Isotani & Akiko Inaba & Mitsuru Ikeda & Riichiro Mizoguchi,,An ontology engineering approach to the realization of theory-driven group formation
ijCSCL_3_3_1,Carolyn Rose & Yi-Chia Wang & Yue Cui & Jaime Arguello & Karsten Stegmann & Armin Weinberger & Frank Fischer,,Analyzing collaborative learning processes automatically: Exploiting the advances of computational linguistics in
ijCSCL_8_1_0,Diler Oner,,Analyzing group coordination when solving geometry problems with dynamic geometry software
ijCSCL_9_4_0,Gerry Stahl & Nancy Law & Ulrike Cress & Sten Ludvigsen,editorial,Analyzing roles of individuals in small-group collaboration processes
ijCSCL_6_3_6,Alyssa Friend Wise,,Analyzing temporal patterns of knowledge construction in a role-based online discussion
ijCSCL_9_1_0,Gerry Stahl & Ulrike Cress & Nancy Law & Sten Ludvigsen,editorial,Analyzing the multidimensional construction of knowledge in diverse contexts
ijCSCL_5_2_2,Goran Karlsson,,Animation and grammar in science education: Learners’ construal of animated educational software
ijCSCL_3_2_3,Joanna Wolfe,,Annotations and the collaborative digital library: Effects of an aligned annotation interface on student argumentation and reading strategies
ijCSCL_1_2_1,Hans Christian Arnseth,,Approaching institutional contexts: Systemic versus dialogic research in CSCL
2016_v11i3_10.1007_s11412-016-9241-7_Appropriation_from_a_script_theory_of_guidance_perspective_a_response_to_Pierre_Tchounikine,Karsten Stegmann & Ingo Kollar & Armin Weinberger & Frank Fischer,,Appropriation from a script theory of guidance perspective: a response to Pierre Tchounikine
ijCSCL_10_1_4,Yun Wen & Chee-Kit Looi & Wenli Chen,,Appropriation of a representational tool in a second-language classroom
ijCSCL_3_2_4,Maarten Overdijk & Wouter van Diggelen,,Appropriation of a shared workspace: Organizing principles and their application
ijCSCL_6_3_5,Dejana Mullins & Nikol Rummel & Hans Spada,,Are two heads always better than one? Differential effects of collaboration on students’ computer-supported learning in mathematics
2019_v14i4_10.1007_s11412-019-09311-4_Are_we_together_or_not_The_temporal_interplay_of_monitoring_physiological_arousal_and_phys,Jonna Malmberg & Eetu Haataja & Tapio Seppanen & Sanna Jarvela,,"Are we together or not? The temporal interplay of monitoring, physiological arousal and physiological synchrony during a collaborative exam"
ijCSCL_2_2_8,Baruch B. Schwarz,,Argumentation in a changing world
ijCSCL_9_2_3,Alyssa Friend Wise & Simone Nicole Hausknecht & Yuting Zhao,,Attending to others’ posts in asynchronous discussions: Learners’ online “listening” and its relationship to speaking
ijCSCL_3_4_5,Gijsbert Erkens & Jeroen Janssen,,Automatic coding of dialogue acts in collaboration protocols
ijCSCL_2_1_5,Liam Rourke,,Barriers to online critical discourse
ijCSCL_5_4_0,Gerry Stahl & Friedrich Hesse,editorial,Beyond folk theories of CSCL
ijCSCL_3_3_6,Anna Sfard,editorial,Book review: Exploring thinking as communicating in CSCL
ijCSCL_6_2_1,Carol K. K. Chan,,Bridging research and practice: Implementing and sustaining knowledge building in Hong Kong classrooms
2020_v15i3_10.1007_s11412-020-09330-6_Bringing_maker_practices_to_school_tracing_discursive_and_materially_mediated_aspects_of_s,Pirita Seitamaa-Hakkarainen & Kai Hakkarainen & Sini Riikonen,,Bringing maker practices to school: tracing discursive and materially mediated aspects of student teams’ collaborative making processes
ijCSCL_6_4_7,Donatella Cesareni & Francesca Martini & Ilaria Mancini,,"Building a community among teachers, researchers and university students. A blended approach to training"
2020_v15i3_10.1007_s11412-020-09329-z_Building_community_together_towards_equitable_CSCL_practices_and_processes,Carolyn P. Rose & Sanna Jarvela,editorial,Building community together: towards equitable CSCL practices and processes
ijCSCL_1_2_0,Gerry Stahl & Friedrich Hesse,editorial,"Building knowledge in the classroom, building knowledge in the CSCL community"
manifest:10.1007/s11412-023-09407-y,,,Can CPS better prepare 8th graders for problem-solving in electromagnetism and bridging the gap between high- and low-achievers than IPS?
2023_v18i4_10.1007_s11412-023-09407-y_Can_CPS_better_prepare_8th_graders_for_problem-solving_in_electromagnetism_and_bridging_th,Jiun-Wei Guo & Hsiao-Ching She & Meng-Jun Chen & Pei-Yi Tsai,,Can CPS better prepare 8th graders for problem‑solving in electromagnetism and bridging the gap between high‑ and low‑achievers than IPS?
ijCSCL_5_4_1,Ruth Kershner & Neil Mercer & Paul Warwick & Judith Kleine Staarman,,Can the interactive whiteboard support young children’s collaborative communication and thinking in classroom science activities?
ijCSCL_8_4_4,Roberto Martinez-Maldonado & Yannis Dimitriadis & Alejandra Martinez-Mones & Judy Kay & Kalina Yacef,,Capturing and analyzing verbal and physical collaborative learning interactions at an enriched interactive tabletop
2021_v16i1_10.1007_s11412-021-09339-5_Capturing_regulatory_patterns_in_online_collaborative_learning_A_network_analytic_approach,Si Zhang & Juan Chen & Yun Wen & Hongxian Chen & Qianqian Gao & Qiyun Wang,,Capturing regulatory patterns in online collaborative learning: A network analytic approach
