year,volume,issue,article_number,editorial,authors,title
2025,20,2,4,,Jinzhi Zhou & Cindy E. Hmelo‑Silver & Zach Ryan & Christina Stiso & Danielle Murphy & Joshua Danish & Clark A. Chinn & Ravit Golan Duncan,Disagreeing softly: Supporting students in managing disagreement in peer critique
2025,20,2,5,,Jauwairia Nasir & Aditi Kothiyal & Barbara Bruno & Pierre Dillenbourg,Correction to: Many are the ways to learn: Identifying multi‑modal behavioral profiles of collaborative learning in constructivist activities
2025,20,2,6,,Fan Ouyang & Weiqi Xu & Mutlu Cukurova,Correction: An artificial intelligence‑driven learning analytics method to examine the collaborative problem‑solving process from the complex adaptive systems perspective
2025,20,3,0,editorial,Michael Baker & Peter Reimann,Editorial notes: Extending perennial topics in CSCL
2025,20,3,1,,Pengjin Wang & Fan Chen & Deliang Wang & Gaowei Chen,Enhancing students’ dialogic reflection through classroom discourse visualisation
2025,20,3,2,,Lucas Paulsen & Jacob Davidsen,Activity‑based collaborative virtual reality: Conceptualising immersive virtual reality for collaborative learning
2025,20,3,3,,Loris T. Jeitziner & Lisa Paneth & Oliver Rack & Susanne Bleisch & Carmen Zahn,Measuring the quality of collaborative group engagement: Development and validation of the QCGE self‑assessment scale (QCGE‑SAS)
2025,20,3,4,,Aaron J. Peltoniemi & Joni Lämsä & Sami Lehesvuori,Understanding the role of I‑positions facilitating knowledge construction in a computer‑supported collaborative learning environment
2025,20,4,0,editorial,Peter Reimann & Michael J. Baker,Editorial notes: Mechanisms as a unifying construct for CSCL research
2025,20,4,1,,Shihui Feng & Ziyi Wei,The CoMPAS Framework for Modeling Individual Participation in Collaborative Learning Processes: a Systematic Review
2025,20,4,2,,Alena Seredko,Accomplishing collaboration at scale: How professionals jointly frame problems on Stack Overflow
2025,20,4,3,,Shigen Shimojo & Yugo Hayashi,Age‑related differences in explanatory activities during collaborative learning with concept maps: experimental investigation using epistemic network analysis
2025,20,4,4,,Changhao Liang & Yuko Toyokawa & Hiroaki Ogata,Optimizing group formation with a mixed genetic algorithm: an empirical study in active reading using marker data
2025,20,4,5,,Azzeddine Benabbou & Catherine Pons,Collaboration in virtual and remote laboratories for education: A systematic literature review
2026,21,1,0,editorial,Michael J. Baker & Peter Reimann,"Editorial notes: Collaboration, feedback and dynamics"
2026,21,1,4,,Tatiana Íñiguez‑Berrozpe & Carmen Elboj‑Saso & Francesco Marcaletti & adolescents are exposed. Objective,Learning to deal with hate speech: An online collective intelligence experiment on the Collective Learning platform
2026,21,1,5,,Yifat Ben‑David Kolikant & Omri Hadar & Asaf Salman,Talk to the machine: Unleashing the potential of AI to scale dialogic education and reduce polarization
2026,21,2,0,editorial,Michael J. Baker & Peter Reimann,Editorial Notes: the CSCL universe is still expanding
2026,21,2,1,,Taehyun Kim & Mike Tissenbaum,Understanding when anger becomes productive or destructive in collaborative educational games
2026,21,2,2,,Xinran Zhu & Bodong Chen & David DeLiema,Advancing collaborative discourse through knowledge synthesis
2026,21,2,3,,Mohammed Saqr & Sonsoles López‑Pernas & Tiina Törmänen,A temporal network approach to reveal the longitudinal dynamics of CSCL group regulation and productive collaboration
2026,21,2,4,,Mohammed Saqr & Sonsoles López‑Pernas,Correction: A temporal network approach to reveal the longitudinal dynamics of CSCL group regulation and productive collaboration
